generation,id,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9
1,0,165.17393117889412,289.0672889058677,-86.63978450802568,-112.93505183511519,119.85905762000584,434.4297812078097,2.068292117361466,304.6978503490012,79.96935882597825,347.9925486783918
1,1,49.14027208837058,-177.11302434722785,305.31017600073653,-453.5285421102648,-494.4592262352361,416.510716351341,50.74699522865626,-446.2032179162274,286.30094490924375,251.16056154137857
1,2,-261.2401339826432,-45.756937529804475,-94.37873290146757,310.70037894666416,-481.4315870994843,131.84207831435833,-56.85217828049059,-326.54048517802335,-389.3959583433086,-338.7022915469444
1,3,330.57563153518345,-162.22351791484988,-283.2047800345855,111.3746283103684,62.85262327964051,-386.6209652093561,286.22930108603737,-419.97353117281875,316.39977348995285,-446.56907508955237
1,4,-208.18125393839983,54.11734452285452,-382.08075223008905,-268.12404182767125,-300.6889945775778,-315.51511985573586,187.36789241789586,-498.2118723929708,40.380486450243325,-209.01862356400494
1,5,-158.79319582440075,6.499684892688606,12.794650350712345,310.95074305651747,15.589050547544161,-208.58786425296358,-56.544250649046546,-305.7874566390087,139.69151866045172,-451.75210459787183
1,6,41.96133410630728,-108.70357011580955,27.071641719879153,321.4201604314479,-445.4673871660052,-321.4590022238001,-393.06813057452706,44.33051556336079,106.14279213150769,386.6998256632536
1,7,-230.28458940630867,-140.27624784332193,185.7406214099218,-442.25585822158996,-330.68493686163515,63.672301874615755,395.1970613847201,-434.3026414778184,-310.25894419761545,-320.1257720422125
1,8,-245.93996132604744,-498.3289246457988,88.04944584201746,-63.26333852235143,-371.02690871880054,-457.8222681072257,164.00899215989773,-198.81682548210733,386.8242104404611,392.9750687378804
1,9,408.4514208044062,-1.9707524134548748,76.41621729741462,195.37045141906947,477.951221575095,-458.19359405669826,432.70604733115727,-338.1219929671282,427.02376170738,101.7716607740748
1,10,-106.05424939346221,391.8064608668027,-104.66545732915864,446.2721187758757,36.67460512628293,430.5585464348658,-306.85458429658604,173.68387901012704,87.76385401222103,-45.34793624314062
